s,iniziativa,presentazione,approvazione
http://dati.camera.it/ocd/attocamera.rdf/ac19_2593,Governo,20250911,20251218
http://dati.camera.it/ocd/attocamera.rdf/ac19_2240,Governo,20250211,20250304
http://dati.camera.it/ocd/attocamera.rdf/ac19_690,Parlamentare,20221206,20231205
http://dati.camera.it/ocd/attocamera.rdf/ac19_2313,Parlamentare,20250319,20251104
http://dati.camera.it/ocd/attocamera.rdf/ac19_1289,Parlamentare,20230711,20240918
http://dati.camera.it/ocd/attocamera.rdf/ac19_1042,Parlamentare,20230324,20260609
http://dati.camera.it/ocd/attocamera.rdf/ac19_1491,Governo,20231018,20231212
http://dati.camera.it/ocd/attocamera.rdf/ac19_1560,Governo,20231116,20240627
http://dati.camera.it/ocd/attocamera.rdf/ac19_698,Governo,20221212,20230124
http://dati.camera.it/ocd/attocamera.rdf/ac19_1305,Parlamentare,20230713,20250326
http://dati.camera.it/ocd/attocamera.rdf/ac19_1447,Parlamentare,20231003,20260429
http://dati.camera.it/ocd/attocamera.rdf/ac19_1135,Parlamentare,20230503,20230908
http://dati.camera.it/ocd/attocamera.rdf/ac19_1902,Governo,20240531,20240723
http://dati.camera.it/ocd/attocamera.rdf/ac19_913,Parlamentare,20230222,20230530
http://dati.camera.it/ocd/attocamera.rdf/ac19_1238,Governo,20230622,20230629
http://dati.camera.it/ocd/attocamera.rdf/ac19_107-B,Parlamentare,20240918,20241023
http://dati.camera.it/ocd/attocamera.rdf/ac19_2416,Governo,20250521,20250716
http://dati.camera.it/ocd/attocamera.rdf/ac19_1066,CNEL,20230330,20231205
http://dati.camera.it/ocd/attocamera.rdf/ac19_1540,Governo,20231110,20260331
http://dati.camera.it/ocd/attocamera.rdf/ac19_1435,Governo,20230928,20241120
http://dati.camera.it/ocd/attocamera.rdf/ac19_2308,Governo,20250314,20250507
http://dati.camera.it/ocd/attocamera.rdf/ac19_1858,Parlamentare,20240509,20260526
http://dati.camera.it/ocd/attocamera.rdf/ac19_922,Governo,20230223,20231129
http://dati.camera.it/ocd/attocamera.rdf/ac19_1933,Governo,20240626,20240703
http://dati.camera.it/ocd/attocamera.rdf/ac19_2034,Governo,20240913,20250402
http://dati.camera.it/ocd/attocamera.rdf/ac19_2164,Governo,20241205,20241210
http://dati.camera.it/ocd/attocamera.rdf/ac19_622,Parlamentare,20221123,20230913
http://dati.camera.it/ocd/attocamera.rdf/ac19_2112-bis,Governo,20241029,20241228
http://dati.camera.it/ocd/attocamera.rdf/ac19_1744,Parlamentare,20240228,20250528
http://dati.camera.it/ocd/attocamera.rdf/ac19_1013,Parlamentare,20230317,20231205
http://dati.camera.it/ocd/attocamera.rdf/ac19_2527,Governo,20250723,20250731
http://dati.camera.it/ocd/attocamera.rdf/ac19_2643,Governo,20251003,20251201
http://dati.camera.it/ocd/attocamera.rdf/ac19_844,Parlamentare,20230131,20250708
http://dati.camera.it/ocd/attocamera.rdf/ac19_2145,Parlamentare,20241122,20250320
http://dati.camera.it/ocd/attocamera.rdf/ac19_2026,Governo,20240910,20250611
http://dati.camera.it/ocd/attocamera.rdf/ac19_873,Parlamentare,20230209,20230627
http://dati.camera.it/ocd/attocamera.rdf/ac19_400,Parlamentare,20221019,20250122
http://dati.camera.it/ocd/attocamera.rdf/ac19_1311,Parlamentare,20230717,20260721
http://dati.camera.it/ocd/attocamera.rdf/ac19_835,Parlamentare,20230130,20240228
http://dati.camera.it/ocd/attocamera.rdf/ac19_1672,Parlamentare,20240129,20260429
http://dati.camera.it/ocd/attocamera.rdf/ac19_885,Parlamentare,20230215,20231205
http://dati.camera.it/ocd/attocamera.rdf/ac19_1737,Parlamentare,20240226,20241031
http://dati.camera.it/ocd/attocamera.rdf/ac19_2500,Parlamentare,20250703,20250806
http://dati.camera.it/ocd/attocamera.rdf/ac19_1049,Parlamentare,20230328,20251001
http://dati.camera.it/ocd/attocamera.rdf/ac19_1521,Parlamentare,20231030,20260311
http://dati.camera.it/ocd/attocamera.rdf/ac19_1589,Governo,20231130,20251022
http://dati.camera.it/ocd/attocamera.rdf/ac19_2682,Governo,20251030,20251210
http://dati.camera.it/ocd/attocamera.rdf/ac19_2088,Governo,20241011,20241204
http://dati.camera.it/ocd/attocamera.rdf/ac19_2642,Governo,20251003,20251111
http://dati.camera.it/ocd/attocamera.rdf/ac19_1127,Parlamentare,20230502,20240918
http://dati.camera.it/ocd/attocamera.rdf/ac19_217,Parlamentare,20221013,20230712
http://dati.camera.it/ocd/attocamera.rdf/ac19_792,Parlamentare,20230119,20250319
http://dati.camera.it/ocd/attocamera.rdf/ac19_2947,Governo,20260604,20260616
http://dati.camera.it/ocd/attocamera.rdf/ac19_2022,Governo,20240809,20241212
http://dati.camera.it/ocd/attocamera.rdf/ac19_674,Governo,20221203,20230125
http://dati.camera.it/ocd/attocamera.rdf/ac19_1458,Governo,20231005,20231130
http://dati.camera.it/ocd/attocamera.rdf/ac19_744,Parlamentare,20221229,20231205
http://dati.camera.it/ocd/attocamera.rdf/ac19_1790,Governo,20240320,20240326
http://dati.camera.it/ocd/attocamera.rdf/ac19_5,Governo,20220923,20221116
http://dati.camera.it/ocd/attocamera.rdf/ac19_2823,Governo,20260227,20260422
http://dati.camera.it/ocd/attocamera.rdf/ac19_2370,Governo,20250424,20260701
http://dati.camera.it/ocd/attocamera.rdf/ac19_2119,Governo,20241028,20241218
http://dati.camera.it/ocd/attocamera.rdf/ac19_2097,Parlamentare,20241017,20251001
http://dati.camera.it/ocd/attocamera.rdf/ac19_771,Governo,20230114,20230308
http://dati.camera.it/ocd/attocamera.rdf/ac19_1691,Governo,20240206,20240731
http://dati.camera.it/ocd/attocamera.rdf/ac19_605,Parlamentare,20221121,20230502
http://dati.camera.it/ocd/attocamera.rdf/ac19_1451,Governo,20231003,20260107
http://dati.camera.it/ocd/attocamera.rdf/ac19_1168,Governo,20230519,20250401
http://dati.camera.it/ocd/attocamera.rdf/ac19_2307,Governo,20250313,20250911
http://dati.camera.it/ocd/attocamera.rdf/ac19_2049,Governo,20240918,20241022
http://dati.camera.it/ocd/attocamera.rdf/ac19_1344,Governo,20230727,20230913
http://dati.camera.it/ocd/attocamera.rdf/ac19_1930,Governo,20240625,20240806
http://dati.camera.it/ocd/attocamera.rdf/ac19_795,Governo,20230120,20230509
http://dati.camera.it/ocd/attocamera.rdf/ac19_2292,Governo,20250305,20250910
http://dati.camera.it/ocd/attocamera.rdf/ac19_952,Parlamentare,20230303,20240409
http://dati.camera.it/ocd/attocamera.rdf/ac19_715-B,Parlamentare,20230518,20230920
http://dati.camera.it/ocd/attocamera.rdf/ac19_1624,Governo,20231220,20240110
http://dati.camera.it/ocd/attocamera.rdf/ac19_1294,Governo,20230712,20231122
http://dati.camera.it/ocd/attocamera.rdf/ac19_624,Parlamentare,20221123,20230301
http://dati.camera.it/ocd/attocamera.rdf/ac19_2281,Governo,20250228,20250423
http://dati.camera.it/ocd/attocamera.rdf/ac19_2696,Parlamentare,20251112,20260715
http://dati.camera.it/ocd/attocamera.rdf/ac19_1980,Governo,20240718,20241017
http://dati.camera.it/ocd/attocamera.rdf/ac19_2751,Governo,20251227,20260211
http://dati.camera.it/ocd/attocamera.rdf/ac19_1457,Parlamentare,20231004,20240213
http://dati.camera.it/ocd/attocamera.rdf/ac19_813,Parlamentare,20230125,20260513
http://dati.camera.it/ocd/attocamera.rdf/ac19_2655,Governo,20251008,20251126
http://dati.camera.it/ocd/attocamera.rdf/ac19_2245,Governo,20250214,20250220
http://dati.camera.it/ocd/attocamera.rdf/ac19_2662,Governo,20251015,20251028
http://dati.camera.it/ocd/attocamera.rdf/ac19_914,Parlamentare,20230222,20230530
http://dati.camera.it/ocd/attocamera.rdf/ac19_2448,Governo,20250611,20250617
http://dati.camera.it/ocd/attocamera.rdf/ac19_831,Governo,20230127,20230517
http://dati.camera.it/ocd/attocamera.rdf/ac19_182,Parlamentare,20221013,20260714
